filename	event_labels
O8bUfZHHhmY_0_10	Motorcycle,Speech
66gvY0kry-8_20_30	Cheering,Speech
Dk3BQT_d9CU_10_20	Motorcycle,Speech
3ZzIxxC1etg_540_550	Basketball_bounce,Speech
0ehZDAhAoGU_90_100	Speech,Car
Aa5r8ktEDnQ_30_40	Violin_fiddle,Speech
1HqA3aiLWNc_30_40	Cheering,Speech
CxLpeYdT8Uw_180_190	Singing,Speech
EpI2sat-cNA_130_140	Speech,Dog
8Hc7q-r7s18_30_40	Basketball_bounce,Speech
HJDUyPTlrms_50_60	Speech,Frying_(food)
BF1KkbstHUA_90_100	Motorcycle,Speech
CD9tJqPChQM_60_70	Speech,Dog
O3wI-VmihzA_30_40	Violin_fiddle,Speech
CI3csTvj3sg_10_20	Chicken_rooster,Speech
IeUsNxHECH8_500_510	Speech,Frying_(food)
EXlA54WYHk4_180_190	Cat,Speech
OSMSKqxUuE0_30_40	Cat,Speech
CjqLPw2DIis_20_30	Cat,Speech
3a7ZQYncZzo_30_40	Acoustic_guitar,Violin_fiddle,Speech
KKvLQyLc5k4_200_210	Singing,Speech
Mw2XcmB1gMo_60_70	Speech,Dog
0OKELwyAi5E_60_70	Speech,Baby_laughter
NeZ635wKLsE_90_100	Speech,Fire_alarm
37w0nPBNjjI_0_10	Speech,Car
BvPCdVqKqcY_310_320	Singing,Speech
MEuUiKrnOn8_420_430	Acoustic_guitar,Speech
1XS7E-gmZ_M_30_40	Speech,Car
I-1qF2Aa-uQ_10_20	Speech,Dog
KSquo6K-AZY_150_160	Singing,Speech
DKOo0Rul3PM_290_300	Speech,Accordion
1NYsiTiG0IM_50_60	Basketball_bounce,Speech
Ciq1Lp_4wwk_30_40	Basketball_bounce,Speech
GB_weHJP-_8_370_380	Chicken_rooster,Speech
FOUjOK2AZ30_550_560	Blender,Speech
Cw1qq6DAz9I_0_10	Basketball_bounce,Speech
EMqAXt_l8Hc_200_210	Speech,Baby_cry_infant_cry
AR9dxZVmPGE_140_150	Chicken_rooster,Speech
GbpQTJtqGkE_30_40	Violin_fiddle,Speech
LlLJ8g_GLAY_0_10	Singing,Speech
Ey9aTi2uSAs_30_40	Violin_fiddle,Speech
G2krY8Yvwg0_30_40	Violin_fiddle,Speech
PBDUCRTHbio_30_40	Violin_fiddle,Speech
MJVCZzC6Ih8_240_250	Singing,Speech
DvdHi1v9Iuk_220_230	Basketball_bounce,Speech
NyH4YFIm4WE_30_40	Cat,Speech
JLWeZ0itn3Y_30_40	Speech,Baby_cry_infant_cry
4tuKQQTQ-5g_30_40	Speech,Frying_(food)
05KSC0VCTho_30_40	Speech,Clapping
BuMgxAIjcU4_190_200	Singing,Speech
Hu_4YQv-DuQ_0_10	Speech,Dog
EcDQzSQ-d_I_30_40	Speech,Baby_cry_infant_cry
Cxexc-HUihs_110_120	Singing,Speech
3KSPZMy2MB0_30_40	Speech,Baby_laughter
MQImODJOrbM_0_10	Speech,Fire_alarm
FDMdVveepRw_80_90	Speech,Dog
0Caa8fP99r8_30_40	Speech,Car
CQYJ03SXW0Q_30_40	Chicken_rooster,Speech
P-uq3Z-jgFI_50_60	Speech,Dog
JVZdQ-WwzIc_10_20	Speech,Vacuum_cleaner
KtiVuCIXcqo_30_40	Speech,Dog
IQbMYkGYmos_0_10	Chainsaw,Speech
KHeMwhe3bWY_30_40	Chicken_rooster,Speech
HlArivUmCKI_0_10	Speech,Clapping
GLjai294FcU_30_40	Speech,Dog
L1cmmqoH7pE_10_20	Speech,Accordion
JCI1XiwOIRI_30_40	Violin_fiddle,Speech
GbIu2dxJksg_190_200	Basketball_bounce,Speech
L00e4BtIZuo_30_40	Speech,Dog
Fp3gMAeIDs8_30_40	Violin_fiddle,Speech
1Sk-2iLqkjw_30_40	Speech,Car
Gd03Bha6ZNg_10_20	Speech,Dog
B-aIPSdYJWw_40_50	Lawn_mower,Speech
MdunwwGJUpg_100_110	Helicopter,Speech
LGZEm1qLRLs_10_20	Speech,Dog
ITKQcGdx31g_30_40	Violin_fiddle,Speech
2XRKxHfv1kQ_30_40	Speech,Baby_laughter
3JeAXxbXl8I_70_80	Speech,Car
FmnNGl8aSkw_30_40	Chicken_rooster,Speech
A9anjyjQa74_0_10	Speech,Dog
BC-hQaoRs-k_0_10	Speech,Dog
LwSW6Wp1RNg_20_30	Chicken_rooster,Speech
BPGOI387ShM_16_26	Motorcycle,Speech
BmKD3FsBNLM_30_40	Singing,Speech
EVZYvgMshYM_310_320	Chicken_rooster,Speech
3TJ3JCscSvY_10_20	Basketball_bounce,Speech
OBXaXA5TMhc_0_10	Basketball_bounce,Speech
Iffn6c1KzzY_30_40	Speech,Baby_cry_infant_cry
JeDG4ZR0RJE_30_40	Violin_fiddle,Speech
HyNvc8oZL90_30_40	Acoustic_guitar,Speech
FDu1YNSwJxE_40_50	Cello,Violin_fiddle,Speech
KW6cnSB7d5g_50_60	Singing,Speech
5Ea-1RdAXQ4_10_20	Speech,Accordion
DjTUXM4n1O0_20_30	Cheering,Speech
H_uTAbZv5yQ_30_40	Violin_fiddle,Speech
LukCi9W1myo_0_10	Speech,Dog
NrNGo27_gZ8_30_40	Violin_fiddle,Speech
Df_8DgqANzY_10_20	Singing,Speech
Dhk7Z_GbZeE_20_30	Acoustic_guitar,Speech
KO9ncYaXbWc_30_40	Chicken_rooster,Speech
Oz6ASKz7anA_30_40	Violin_fiddle,Speech
AnX62eL_5nk_100_110	Motorcycle,Speech
JkbwfZGDXKE_30_40	Speech,Baby_cry_infant_cry
My_5XwxWbBg_40_50	Cat,Speech
-0Bkyt8iZ1I_8_18	Speech,Car
68ijV_btmC0_370_380	Speech,Frying_(food)
NddQ787IjIk_560_570	Chainsaw,Speech
HDnAnKOZerI_190_200	Speech,Dog
LapACb_gP2E_170_180	Singing,Speech
KLVWASLqRqM_360_370	Cheering,Speech
5LwPTenbbQg_30_40	Cheering,Speech,Clapping
A6ujpJGHEPU_40_50	Speech,Dog
OhJaQIzt6sE_130_140	Singing,Speech
05hVR4iEQlU_30_40	Basketball_bounce,Speech
M76zQUmTc3g_30_40	Violin_fiddle,Speech
ORxzNMh2DJM_100_110	Speech,Dog
GI4EYJlP4bI_20_30	Cheering,Speech
1vU0IIl1Fdw_20_30	Speech,Car
3kKfwoe57Eg_120_130	Speech,Fire_alarm
L1u2ecEl18s_10_20	Speech,Dog
MkdbMSza3Ec_0_10	Motorcycle,Speech
NCdc6zv3jyA_50_60	Speech,Dog
OnkmiRx07AM_70_80	Acoustic_guitar,Speech
DiFdydZOK1Y_30_40	Violin_fiddle,Speech
AOSVHoRTyC4_30_40	Chicken_rooster,Speech
D1KYBsrovmk_30_40	Speech,Dog
LzxpYfLHtIc_50_60	Basketball_bounce,Speech
LML9WuBteKE_370_380	Speech,Dog
Kw8QJdiV0co_50_60	Cat,Speech
JDUUvRNht2U_30_40	Speech,Baby_cry_infant_cry
A1vqIG8hUrA_140_150	Speech,Frying_(food)
DlmSmEYFiGc_30_40	Violin_fiddle,Speech
GGaClpH_D6s_150_160	Singing,Speech
6gDLsZlLEPw_50_60	Basketball_bounce,Speech
Ldi2qaJgp7s_80_90	Motorcycle,Speech
JAJ1DRr5j9c_220_230	Chicken_rooster,Speech
6vwAcL1eZac_230_240	Banjo,Acoustic_guitar,Speech
KvziupFd33A_30_40	Lawn_mower,Speech
O5GdsfyyxF8_10_20	Speech,Dog
2hQr59wjQ9Q_170_180	Basketball_bounce,Speech
2S-pV04Oybw_30_40	Speech,Car
BN7WwU1wXhs_360_370	Violin_fiddle,Speech
ON2O6UMBko0_280_290	Speech,Clapping
0A2xOisT2OA_30_40	Speech,Car
E7uvM8xZgkQ_150_160	Motorcycle,Speech
BY9nRKRi42Q_100_110	Acoustic_guitar,Speech
MeVVkIKj504_120_130	Acoustic_guitar,Speech
MkcwrZEG0pw_30_40	Speech,Baby_cry_infant_cry
7u4xxjh6LOE_0_10	Telephone_bell_ringing,Speech
NWeWNE_Xz70_150_160	Singing,Speech
2DQDYktO0oA_50_60	Speech,Car
Du9EsX7W8ls_30_40	Speech,Baby_cry_infant_cry
4LIJXbQ0mO4_0_10	Telephone_bell_ringing,Speech
36rZHqqpNxs_30_40	Cheering,Speech
9chJAaLxYOA_30_40	Violin_fiddle,Speech
JDwXIffh_Vw_6_16	Speech,Baby_cry_infant_cry
NIyQYnhqpok_0_10	Speech,Accordion
9uahaAKSaZE_30_40	Violin_fiddle,Speech
7rc6Oihko4E_10_20	Basketball_bounce,Speech
GukD82nXl9A_260_270	Telephone_bell_ringing,Speech
2LZCtmRnWKc_420_430	Cheering,Speech
Gb46VaaTkAo_30_40	Violin_fiddle,Speech
HLGVOocf0eE_360_370	Singing,Speech
J0cTiygBoJw_550_560	Singing,Speech
6mbXaZyfQQ4_20_30	Speech,Vacuum_cleaner
CmJTEKR8cvU_30_40	Violin_fiddle,Speech
BjZm3aEMFxo_160_170	Basketball_bounce,Speech
GrIOiFJEx3w_0_10	Motorcycle,Speech
MuMvmMqu574_30_40	Helicopter,Speech
37sFQbjViwQ_30_40	Speech,Car
FMnmSc3DZa0_30_40	Violin_fiddle,Speech
MtSqfufW138_40_50	Speech,Dog
62-9g0s_DEY_90_100	Cheering,Speech
DZNDUdBJmN4_30_40	Acoustic_guitar,Speech
GTsZpnX9vZY_200_210	Singing,Speech
NJpgFHYA7NY_50_60	Speech,Dog
KzUfnM9Zl8k_350_360	Acoustic_guitar,Speech
C0AY0FEhOxU_30_40	Cat,Speech
IR9y8fwMkyw_30_40	Motorcycle,Speech
CQNCpAEj2u0_70_80	Motorcycle,Speech
EE7TIicYi1k_30_40	Violin_fiddle,Speech
Ohqvj_4NiAY_500_510	Telephone_bell_ringing,Speech
KC6eCk21h8Y_90_100	Singing,Speech
NTY70iDzfG4_30_40	Singing,Speech
O1RVX1bm0Ho_23_33	Speech,Baby_cry_infant_cry
Eu_MhwlNils_150_160	Singing,Speech
DPI7qtJHlKA_30_40	Helicopter,Speech
A7GkagHEjdM_10_20	Singing,Speech
-3WtffZs4rk_30_40	Speech,Vacuum_cleaner
AznluK8-kW4_50_60	Singing,Speech
KHm57qXPDsI_0_10	Cheering,Speech
KH0nG82iAiY_320_330	Cheering,Speech
J5xPAT7ApbY_0_10	Speech,Baby_cry_infant_cry
FRHl6_2gufQ_30_40	Violin_fiddle,Speech
FVlUwtGXVF0_30_40	Cheering,Speech
JCTIHk8Mtvk_40_50	Speech,Dog
3EUhjgKEd2A_30_40	Speech,Car
AIQHTEAifhg_30_40	Violin_fiddle,Speech
5SVpG8o3sQU_30_40	Lawn_mower,Speech
3EN2GAqTXbg_30_40	Speech,Car
Af_wf2Ohg3Q_440_450	Speech,Vacuum_cleaner
C3OiVi1rDco_90_100	Chicken_rooster,Speech
EyBd9s1G3lw_50_60	Speech,Baby_laughter
EXhYxIKFSWk_50_60	Speech,Dog
0IQ3lxVgKxo_30_40	Speech,Clapping
LtEU8yz3CwM_80_90	Singing,Speech
A4YDH9f4Lkg_180_190	Singing,Speech
Bu_L540uFBU_30_40	Violin_fiddle,Speech
AxVZl7Zc2GY_30_40	Helicopter,Speech
MbcD-cUuNnI_0_10	Helicopter,Speech
LHGlQpppuaw_30_40	Violin_fiddle,Speech
DBhkzQFl-jc_10_20	Acoustic_guitar,Speech
BE4kyix-vIE_20_30	Speech,Dog
KH-cEpgo00o_0_10	Speech,Dog
LtMa7f9UleY_11_21	Chicken_rooster,Speech
LAZzVa6gh_E_10_20	Singing,Speech
3A5zDM5a3e0_30_40	Cheering,Speech
EPE1FDeM_S8_170_180	Motorcycle,Speech
1gyeUE6hQ5A_50_60	Banjo,Speech
HNGSa8RR83A_30_40	Speech,Dog
0EfcOvoQiX8_30_40	Speech,Car
HJXlM9YHAfU_10_20	Singing,Speech
Dcc3mTlzmio_30_40	Violin_fiddle,Speech
AQQjkLxWZig_220_230	Basketball_bounce,Speech
40WHgilHrlo_0_10	Speech,Baby_laughter
A_QviFgRp6s_30_40	Banjo,Speech
HKFtpFZxYPU_30_40	Speech,Dog
Eoamls0LLow_10_20	Speech,Baby_cry_infant_cry
14qn5WPIYvo_10_20	Speech,Car
N1Xl7sEKBFA_360_370	Basketball_bounce,Speech
Oviv-SCpIaw_0_10	Cheering,Speech
0F1eRFFhtIc_30_40	Speech,Car
AKwSBNljDDM_120_130	Motorcycle,Speech
EDqCrflOKyY_50_60	Helicopter,Speech
09EDMceMA_8_30_40	Speech,Car
IfarldZivgw_170_180	Motorcycle,Speech
OsXN8MCtnV8_30_40	Violin_fiddle,Speech
EwRkkTwc2UU_150_160	Blender,Speech
MESLJhrOaUo_9_19	Violin_fiddle,Speech
IXcSKIcwWLE_90_100	Speech,Vacuum_cleaner
GP0EWsP7mvQ_210_220	Singing,Speech
LcUL769g4Rs_0_10	Basketball_bounce,Speech
Gh7seXXpc1k_460_470	Basketball_bounce,Speech
HnIxZ8xC0Vg_300_310	Speech,Baby_cry_infant_cry
MuJwmPPu__Y_50_60	Speech,Baby_laughter
Ay4il3RrFog_30_40	Singing,Speech
J7-1pSO0ETE_30_40	Cat,Speech
JB2zleley5E_30_40	Violin_fiddle,Speech
NbTB-m7EJF0_30_40	Violin_fiddle,Speech
HqzC6L3PugE_60_70	Cat,Speech
HI71KVarxgY_30_40	Acoustic_guitar,Speech
Ko-AYlJ_me0_30_40	Cat,Speech
NM3FmFgHWSo_30_40	Violin_fiddle,Speech
0f2fH2Rwh0Q_180_190	Banjo,Speech
4wtYx-VZM7o_180_190	Speech,Fire_alarm
0UgX-teD-hw_70_80	Basketball_bounce,Speech
1LXVfiSAWaQ_30_40	Speech,Car
OJnLYo6skJc_220_230	Motorcycle,Speech
PBavuFh-oPQ_30_40	Speech,Dog
O8F1h6lZeKQ_180_190	Cello,Violin_fiddle,Speech
09THZpxDI4w_30_40	Banjo,Speech
At0G4N0E8YQ_100_110	Singing,Speech
17YkUTXPZiA_30_40	Speech,Fire_alarm
-B-8g0zMBvY_30_40	Banjo,Speech
0dAvQfMkjrs_30_40	Speech,Car
HKGFxrTEGTs_170_180	Motorcycle,Speech
NP3oYOP-844_50_60	Chicken_rooster,Speech
OPCoU43M1gg_120_130	Singing,Speech
6ZJFbk7hgAs_90_100	Speech,Fire_alarm
2mn9MWLKKVc_230_240	Speech,Vacuum_cleaner
EiEkyzNMqZo_160_170	Cheering,Speech
6DMX8gljdqU_90_100	Speech,Frying_(food)
KwiSnqxMzz8_0_10	Speech,Baby_laughter
J0irwl8QjfI_190_200	Singing,Speech
9mBFnO9HyXE_180_190	Motorcycle,Speech
ILx1MmjGL1Q_250_260	Singing,Speech
ESALOdHP4X0_30_40	Violin_fiddle,Speech
DhwawzxZ5Nc_170_180	Singing,Speech
I7lqypbNMc8_320_330	Speech,Accordion
AiiXzqzfJJA_30_40	Banjo,Speech
FKV1m86T9yE_140_150	Speech,Dog
3CESSodaKyY_260_270	Cheering,Speech
1HhqwDuw3Uo_30_40	Speech,Car
P6o4LyL6hJw_470_480	Basketball_bounce,Speech
8iMjn4Xsu9g_110_120	Speech,Vacuum_cleaner
EFqwcSJjHqs_350_360	Helicopter,Speech
1ur8hokq-Cs_220_230	Chainsaw,Speech
HufIy_MZR20_0_10	Acoustic_guitar,Speech
Hp_uadxXh4g_310_320	Speech,Dog
NSQ7smAjWxg_30_40	Singing,Speech
DXskx1jHOMk_30_40	Violin_fiddle,Speech
DxPCnFTKH58_210_220	Helicopter,Speech
Hbdcj0Bs5M4_110_120	Speech,Dog
Cg6r9hMEgHg_20_30	Speech,Dog
Ng11fsHykCE_90_100	Chainsaw,Speech
5vVSqVJOqZs_130_140	Basketball_bounce,Speech
3FW7a2NUiNM_30_40	Speech,Car
8GEJtVI8BJk_10_20	Basketball_bounce,Speech
30ujpY4_mEM_10_20	Cheering,Speech
9xduhAGBNPk_70_80	Basketball_bounce,Speech
5RGw1EfmKmc_30_40	Lawn_mower,Speech
CEtWAwtDFvc_30_40	Lawn_mower,Speech
9mdHUoBmtiE_0_10	Speech,Frying_(food)
DWZryhd23Q8_80_90	Singing,Speech
4xIq6W9b4jY_60_70	Blender,Speech
AGQWFOt0d4E_60_70	Cat,Speech
ITaqvzpNW88_360_370	Cat,Speech
BXHy0ln_TFE_110_120	Cat,Speech
7g9NmouwCtc_50_60	Speech,Clapping
9wcgyC-mnL0_150_160	Singing,Speech
DyZMQ54lcyE_60_70	Speech,Clapping
CM7vAP1qyXQ_340_350	Singing,Speech
G7etZN5kRKw_30_40	Violin_fiddle,Speech
EGalvFNJPZA_50_60	Cat,Speech
Kb-FMjXsw5Q_29_39	Speech,Baby_cry_infant_cry
BHd7HUWw5lI_90_100	Basketball_bounce,Speech
CiekcZLCTG4_30_40	Lawn_mower,Speech
KvfQRSpjVHA_220_230	Helicopter,Speech
EO8NiY-Ow3Y_30_40	Speech,Dog
OehLDDJ_C1g_30_40	Speech,Dog
9it4ahmkyM8_30_40	Cat,Speech
JIjur_ofzPA_390_400	Speech,Frying_(food)
BYNXAvN7278_120_130	Speech,Dog
INPtVtvCvu8_100_110	Speech,Dog
HwWdLfHtSEU_300_310	Speech,Dog
9VOZBg7GVh0_120_130	Speech,Dog
3Bo19UHXWsk_30_40	Speech,Car
04SfcnB7u68_30_40	Speech,Car
HxOPF7Cuj1U_40_50	Motorcycle,Speech
JcEOHOPeNTg_280_290	Speech,Dog
AJqPUuFdHfI_110_120	Helicopter,Speech
GZSiF2mI2x0_30_40	Cheering,Speech
00fs8Gpipss_440_450	Speech,Car
1NyHvu7GAXA_80_90	Speech,Car
KydEZrXFeHI_470_480	Acoustic_guitar,Speech
5FrzM4rzrpM_390_400	Speech,Accordion
ELtvWdnNGPU_180_190	Speech,Dog
HhSeS_Tqn9Q_60_70	Speech,Baby_laughter
CuFe58MYvhM_10_20	Speech,Dog
KylyALO_TSk_420_430	Blender,Speech
MBVOk4ikByc_90_100	Speech,Fire_alarm
HhJ-norub5c_0_10	Speech,Dog
BoBNnEZ9EhE_180_190	Singing,Speech
BGm8c3ig7jI_80_90	Speech,Vacuum_cleaner
I8kVlJSRIYo_30_40	Chicken_rooster,Speech
Lq9ZWqGISkI_60_70	Motorcycle,Speech
Bs-SvGtZfVg_30_40	Violin_fiddle,Speech
P7LeOi6FpHE_27_37	Speech,Baby_cry_infant_cry
HpwCs7Gnc24_30_40	Speech,Baby_laughter
KpttLKtHhQ0_60_70	Blender,Speech
Id-ggF_eEM8_200_210	Helicopter,Speech
CmfS2YKNrpU_30_40	Speech,Baby_cry_infant_cry
5jKt97AbJB0_0_10	Banjo,Speech
DlDeE-jebL0_160_170	Acoustic_guitar,Speech
CX6IVfEre9A_40_50	Speech,Dog
NbXzQEwxdaw_50_60	Speech,Baby_cry_infant_cry
HbLu3FBJCfk_25_35	Violin_fiddle,Speech
Jtcw_zQB1ZI_60_70	Cat,Speech
As-ZAAIRqVE_23_33	Speech,Baby_laughter
Ar5DLqMUIIk_0_10	Chicken_rooster,Speech
L6TCRy-UHQ8_12_22	Speech,Dog
4YLNaCghdsA_30_40	Speech,Clapping
HlqtCyZPKwQ_30_40	Banjo,Speech
Jhqb0gQru44_0_10	Cat,Speech
GGNjHdk4UP8_250_260	Acoustic_guitar,Speech
6GdnIv4GZpA_290_300	Speech,Clapping
1eFYz39bEiQ_10_20	Chainsaw,Speech
JmWaRt8-u0s_480_490	Motorcycle,Speech
05UePdSDE2w_30_40	Speech,Car
HLg2gPw048U_180_190	Singing,Speech
GnD9Zee-7aA_580_590	Motorcycle,Speech
GKg2m4lweM0_50_60	Speech,Dog
D3zfKOwFfo0_290_300	Cheering,Speech
1BMNHqDsuT0_30_40	Speech,Car
Jmm6rY7ljS4_20_30	Speech,Dog
Lrdn_9mzg7E_80_90	Speech,Dog
8sVHU5ZS5zA_30_40	Blender,Speech
JLHbo9t6EEE_30_40	Acoustic_guitar,Speech
G923ugtgt0g_30_40	Singing,Speech
K1iTvk8DsfE_170_180	Speech,Dog
NXNMJsMhAYc_10_20	Speech,Dog
Iz-x76ctmCY_20_30	Speech,Dog
0InNcIr5eTw_30_40	Speech,Car
HZSId6HeoAk_30_40	Acoustic_guitar,Speech
NZcBb5jN_Ao_130_140	Speech,Frying_(food)
GmytpxSHW6g_30_40	Singing,Speech
CzZi6J-YJa0_53_63	Motorcycle,Speech
